id,name,type,flags,description
3147,Walking on Fire,Default,['Permanent'],Don't look down!
1275,Making Some Wintersday Friends III,Default,['Daily'],Wintersday always brings out the crowds.
3219,Daily Recommended Fractal—Scale 69,Default,['Daily'],
3721,Daily Desert Vista Viewer,Default,['Daily'],Always on the lookout for a good view.
3491,Lake Doric Master,ItemSet,"['Pvp', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']",
4914,Coming Home,Default,['Permanent'],Journal: Coming Home Completed
2921,Chuka and Champawat II: Ambush,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'RequiresUnlock', 'Permanent']","Your first attempt to craft the legendary precursor Tigris has been modestly successful, but it has not yet yielded the weapon you ultimately desire. This journey has only just begun. Find a teacher, research your procedures, and hone your skills before you try a second time."
805,Risk Taker,Default,['Permanent'],
4979,Stay Frosty,Default,['Permanent'],
4467,Rolling Competitor: Jormag's Fang,Default,['Permanent'],
4219,[FTT 202] Intermediate Dynamics—Area Damage Level 2,Default,"['RepairOnLogin', 'Permanent']",
3479,Daily Siren's Landing: Kingpin Killer,Default,['Daily'],Take care of them.
1346,Raiders of the Lost Parts,Default,['Permanent'],
842,Daily Invasion Responder,Default,['Daily'],
2404,Machined Dagger,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']",
742,I Like Evon,Default,['Permanent'],Evon for Councillor Forever!
5252,Tengu Weapon Collector,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
2928,Daily Tier 3 Aetherblade,Default,['Daily'],
6202,End of Dragons: Act 4 Mastery,Default,"['RepairOnLogin', 'CategoryDisplay', 'Permanent']",
1633,Dive Master: Prospect Valley,Default,['Permanent'],
572,A Rallying Flame,Default,['Permanent'],
1752,Spirit Crafter,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']",<c=@flavor>May the spirits of the past protect me now and forever.</c>
5004,Royal Flame Weapons,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Permanent']",
5616,Shiver Reward Track,Default,['Permanent'],
3670,A Soaring Stench,Default,['Permanent'],A fine ride with a not-so-fine smell.
7946,Emotionless,Default,['Permanent'],
8636,Home Sweet Homestead: Dragon's End,Default,"['RepairOnLogin', 'Permanent']",Wait. I'm missing a decoration. I sense... Grandfather!
6031,The Goldclaw Holiday Collection,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",
5790,Seasons of the Dragons,Default,"['Pvp', 'RepairOnLogin', 'CategoryDisplay', 'Permanent']",
8396,Revenge of the Death-Branded Shatterer (Weekly),Default,['Permanent'],
8050,Convergence Challenge Mode—Umbriel: Gold,Default,['Permanent'],Another loss for House Aurkus.
1559,WvW Spring Tournament 2014: 3rd Place,Default,"['Pvp', 'Hidden', 'MoveToTop', 'Permanent']",
6983,Never-Ending Nurture Knowledge,Default,"['IgnoreNearlyComplete', 'Pvp', 'RepairOnLogin', 'Repeatable', 'Permanent']",The more you know...
4927,Stealing the Limelight,Default,"['Hidden', 'Permanent']",
6522,Dog Nap,Default,['Permanent'],
6478,Fishmongers Know Me,Default,"['RepairOnLogin', 'MoveToTop', 'Permanent']",You can fish your whole life without understanding it was never the fish you were truly after.
5743,Return to Ember Bay,Default,"['Pvp', 'RepairOnLogin', 'CategoryDisplay', 'Permanent']",
6886,"Tester of Secrets, Under 3",Default,['Permanent'],
8965,Fast Constructor's Weapon Collector,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']","<c=@flavor>A recent asuran saying goes that these tools work so fast, they grow feet of their own and walk away.</c>"
1193,Weapons Tester,Default,['Permanent'],Their aim wasn't so hot.
5642,Emergency Dragon Responder: Bloodtide Coast,Default,['Permanent'],
4542,Chasing Tales: Hobbler,Default,"['Hidden', 'Permanent']",Mouglon could spot the flaw in any defense.
3024,Siege the Stronghold,Default,['Permanent'],
7679,Dry Top Incursions,Default,['Weekly'],
2655,RGB,Default,['Permanent'],
950,Deep Down or Airships Grounded,Default,['Daily'],
3406,Born for Battle,Default,['Permanent'],"Story Instance: Taimi's Pet Project<br><br>""AAAARRRRRGGHHH!"""
907,Watch Your Step!,Default,['Permanent'],
4202,Beetlemania,ItemSet,"['Pvp', 'RepairOnLogin', 'Permanent']",Collection: Help Gorrik make a new friend.
7237,Elon Riverlands Rift Hunting,Default,['Permanent'],
8597,Mistburned Barrens Insight: Alliance Staging Ground Overlook,Default,['Permanent'],
1415,Hold the Line,Default,['Daily'],
5191,Onsite Procurement,Default,['Permanent'],
4585,Chasing Tales: The Old Ways,Default,"['Hidden', 'Permanent']","""Ganging up on an old man, eh?"""
3374,The Whispers Way,Default,['Permanent'],"Story Instance: Confessor's End<br><br>""For those who prefer to do it real quiet-like."""
816,Soft Lander,Default,['Permanent'],Story Instance: Scarlet's Playhouse
4965,Pest Control,Default,['Permanent'],
1735,Tormented Weapon Collection,ItemSet,"['IgnoreNearlyComplete', 'Pvp', 'Hidden', 'RepairOnLogin', 'Permanent']","<c=@flavor>The jealous are troublesome to others, but certainly a torment to themselves.</c>"
1200,Aftermath Viathan Cleaner,Default,['Permanent'],
6775,Trick-or-Treat across Tyria,Default,['Daily'],
224,Daily Kills,Default,"['Pvp', 'Daily']",Total kills.
403,PvP Daily Player Kills,Default,"['Pvp', 'Daily']",Maybe they'll stay down today.
5253,Special Mission: Clear the Lighthouse,Default,"['RequiresUnlock', 'Permanent']",
3851,Jilai the Radiant,Default,['Permanent'],
5528,Dragon Response Initiate,Default,['Permanent'],
1937,Daily Maguuma Wastes Vista Viewer,Default,['Daily'],Always on the lookout for a good view.
2047,Nothing but Broken Toys,Default,"['Pvp', 'Hidden', 'Permanent']",50 waves...of DEATH.
1274,That Wintersday Ring III,Default,"['Pvp', 'Daily']",Music for the season.
4864,(Annual) Boss Blitz: Beat Boom-Boom,Default,"['Pvp', 'Permanent']",
